17961_locus	17978_locus	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
I5593_04210	ACX60_04490	99.338	302	2	0	1	302	1	302	0.0	597
I5593_04215	ACX60_04495	100.000	411	0	0	1	411	1	411	0.0	825
I5593_04220	ACX60_04500	100.000	228	0	0	1	228	1	228	3.63e-170	464
I5593_04225	ACX60_04505	98.519	810	12	0	1	810	1	810	0.0	1622
I5593_04230	ACX60_04510	100.000	319	0	0	9	327	1	319	0.0	667
I5593_04235	ACX60_04515	99.704	338	1	0	1	338	1	338	0.0	692
I5593_04240	ACX60_04520	100.000	269	0	0	1	269	1	269	0.0	554
I5593_04245	ACX60_04525	99.038	208	2	0	2	209	1	208	2.35e-156	427
I5593_04250	ACX60_04530	100.000	356	0	0	1	356	1	356	0.0	725
I5593_04255	ACX60_04535	100.000	397	0	0	1	397	1	397	0.0	785
I5593_04260	ACX60_04540	100.000	232	0	0	1	232	1	232	5.31e-173	472
I5593_04265	ACX60_04545	82.820	617	106	0	1	617	1	617	0.0	1047
I5593_04270	ACX60_04550	53.938	838	338	18	1	813	1	815	0.0	751
I5593_04275	ACX60_04555	99.225	129	1	0	1	129	1	129	4.20e-94	264
I5593_04280	ACX60_04560	100.000	106	0	0	1	106	1	106	2.30e-76	217
I5593_04285	ACX60_04565	100.000	204	0	0	1	204	1	204	1.08e-156	428
I5593_04290	ACX60_04570	98.837	258	3	0	1	258	1	258	0.0	526
I5593_04295	ACX60_04575	99.690	323	1	0	1	323	1	323	0.0	669
I5593_04300	ACX60_04580	100.000	62	0	0	1	62	1	62	7.11e-42	127
I5593_04305	ACX60_04585	100.000	187	0	0	1	187	1	187	1.34e-140	386
I5593_04310	ACX60_04590	99.765	426	1	0	1	426	1	426	0.0	873
I5593_04315	ACX60_04595	99.143	467	4	0	1	467	1	467	0.0	854
I5593_04320	ACX60_04600	100.000	150	0	0	1	150	1	150	5.82e-109	303
I5593_04325	ACX60_04605	100.000	232	0	0	1	232	1	232	8.80e-173	471
I5593_04330	ACX60_04610	100.000	135	0	0	1	135	1	135	5.31e-101	282
I5593_04335	ACX60_04615	97.973	444	9	0	1	444	1	444	0.0	902
I5593_04340	ACX60_04620	100.000	334	0	0	1	334	1	334	0.0	670
I5593_04345	ACX60_04625	100.000	199	0	0	1	199	1	199	2.47e-148	407
I5593_04350	ACX60_04630	100.000	446	0	0	1	446	1	446	0.0	927
I5593_04355	ACX60_04635	99.765	1277	3	0	1	1277	1	1277	0.0	2637
I5593_04360	ACX60_03530	27.322	366	236	8	1	350	1	352	1.96e-30	117
I5593_04365	ACX60_04825	100.000	105	0	0	1	105	1	105	1.72e-74	212
I5593_04370	ACX60_04830	99.624	266	1	0	1	266	1	266	0.0	541
I5593_04375	ACX60_04835	100.000	196	0	0	1	196	15	210	1.98e-148	407
I5593_04380	ACX60_04840	98.413	189	3	0	1	189	1	189	3.45e-141	388
I5593_04385	ACX60_04845	99.346	153	1	0	1	153	1	153	1.99e-115	320
I5593_04390	ACX60_04850	99.123	228	2	0	1	228	1	228	7.80e-172	468
I5593_04395	ACX60_04855	100.000	138	0	0	1	138	1	138	2.70e-97	273
I5593_04400	ACX60_04860	100.000	223	0	0	1	223	1	223	3.96e-169	461
I5593_04405	ACX60_04865	99.576	236	1	0	1	236	1	236	3.48e-178	485
I5593_04410	ACX60_04870	100.000	273	0	0	1	273	1	273	0.0	560
I5593_04415	ACX60_04875	78.715	249	46	3	1	249	1	242	6.55e-123	346
I5593_04420	ACX60_04880	100.000	307	0	0	1	307	1	307	0.0	630
I5593_04425	ACX60_04885	100.000	353	0	0	1	353	1	353	0.0	716
I5593_04430	ACX60_04890	100.000	294	0	0	1	294	1	294	0.0	590
I5593_04435	ACX60_04895	100.000	277	0	0	1	277	1	277	0.0	541
I5593_04440	ACX60_04900	100.000	202	0	0	1	202	1	202	1.71e-151	415
I5593_04445	ACX60_04905	100.000	335	0	0	1	335	1	335	0.0	685
I5593_04450	ACX60_04910	100.000	270	0	0	1	270	1	270	0.0	559
I5593_04455	ACX60_04915	100.000	356	0	0	1	356	1	356	0.0	736
I5593_04460	ACX60_04920	99.497	199	1	0	1	199	1	199	6.19e-150	410
I5593_04465	ACX60_04925	100.000	138	0	0	1	138	1	138	4.18e-103	287
I5593_04470	ACX60_04930	99.634	547	2	0	1	547	1	547	0.0	1139
I5593_04475	ACX60_04935	100.000	458	0	0	1	458	1	458	0.0	919
I5593_04480	ACX60_04940	99.329	149	1	0	1	149	1	149	4.84e-113	313
I5593_04485	ACX60_04950	100.000	605	0	0	1	605	1	605	0.0	1241
I5593_04490	ACX60_04955	99.636	275	1	0	1	275	1	275	0.0	563
I5593_04495	ACX60_04960	100.000	124	0	0	1	124	1	124	1.12e-90	255
I5593_04500	ACX60_04965	100.000	230	0	0	1	230	1	230	1.83e-172	470
I5593_04505	ACX60_04970	99.706	340	1	0	1	340	3	342	0.0	702
I5593_04510	ACX60_04975	95.455	66	1	1	1	64	1	66	2.92e-38	118
I5593_04515	ACX60_04980	99.156	237	2	0	1	237	1	237	1.45e-175	479
I5593_04520	ACX60_04985	99.585	241	1	0	1	241	1	241	4.54e-178	485
I5593_04525	ACX60_04990	100.000	214	0	0	1	214	1	214	2.49e-163	446
I5593_04530	ACX60_04995	100.000	252	0	0	1	252	1	252	0.0	516
I5593_04545	ACX60_05005	98.592	142	2	0	1	142	1	142	2.07e-104	291
I5593_04550	ACX60_05010	100.000	145	0	0	1	145	1	145	2.85e-107	298
I5593_04560	ACX60_05020	99.647	566	2	0	1	566	1	566	0.0	1154
I5593_04565	ACX60_05025	98.775	653	8	0	1	653	1	653	0.0	1298
I5593_04570	ACX60_05030	99.756	409	1	0	1	409	1	409	0.0	833
I5593_04575	ACX60_05035	100.000	59	0	0	1	59	1	59	2.27e-40	123
I5593_04580	ACX60_05040	99.582	478	2	0	1	478	1	478	0.0	985
I5593_04585	ACX60_05045	100.000	263	0	0	1	263	1	263	0.0	546
I5593_04590	ACX60_05050	99.851	673	1	0	1	673	1	673	0.0	1374
I5593_04595	ACX60_05055	100.000	195	0	0	1	195	1	195	5.33e-148	405
I5593_04600	ACX60_05060	100.000	314	0	0	2	315	1	314	0.0	619
I5593_04605	ACX60_05065	99.794	485	1	0	1	485	1	485	0.0	986
I5593_04610	ACX60_05070	100.000	244	0	0	1	244	1	244	1.74e-175	479
I5593_04615	ACX60_05075	100.000	224	0	0	1	224	1	224	3.27e-166	454
I5593_04620	ACX60_05080	100.000	406	0	0	1	406	1	406	0.0	825
I5593_04625	ACX60_05085	100.000	377	0	0	1	377	1	377	0.0	765
I5593_04630	ACX60_05090	97.706	218	5	0	1	218	1	218	3.78e-163	446
I5593_04635	ACX60_05095	99.502	402	2	0	1	402	1	402	0.0	837
I5593_04640	ACX60_05100	99.707	341	1	0	1	341	1	341	0.0	706
I5593_04645	ACX60_05105	99.425	348	2	0	1	348	1	348	0.0	713
I5593_04650	ACX60_05110	99.142	233	2	0	1	233	1	233	5.34e-170	464
I5593_04655	ACX60_05115	98.942	378	4	0	1	378	29	406	0.0	774
I5593_04660	ACX60_03025	42.894	387	197	5	1	376	1	374	5.54e-102	303
I5593_04665	ACX60_05125	98.671	301	4	0	1	301	1	301	0.0	606
I5593_04670	ACX60_05130	99.674	614	2	0	1	614	1	614	0.0	1259
I5593_04675	ACX60_05135	99.760	416	1	0	1	416	1	416	0.0	848
I5593_04680	ACX60_05140	98.658	298	4	0	1	298	1	298	0.0	598
I5593_04685	ACX60_05145	99.593	246	1	0	1	246	1	246	0.0	497
I5593_04690	ACX60_05150	98.333	480	8	0	1	480	1	480	0.0	984
I5593_04695	ACX60_05155	100.000	160	0	0	1	160	1	160	3.20e-116	322
I5593_04700	ACX60_05160	99.065	428	4	0	1	428	1	428	0.0	883
I5593_04705	ACX60_05165	99.772	439	1	0	1	439	1	439	0.0	904
I5593_04710	ACX60_05170	99.471	567	3	0	1	567	1	567	0.0	1175
I5593_04715	ACX60_05175	100.000	745	0	0	1	745	1	745	0.0	1551
I5593_04720	ACX60_05180	100.000	262	0	0	1	262	1	262	0.0	537
I5593_04725	ACX60_05185	99.761	418	1	0	1	418	1	418	0.0	848
I5593_04730	ACX60_05190	99.387	163	1	0	1	163	1	163	2.91e-118	328
I5593_04735	ACX60_05195	98.529	136	2	0	1	136	1	136	1.66e-97	273
I5593_04745	ACX60_05200	97.150	386	11	0	1	386	7	392	0.0	743
I5593_04750	ACX60_05205	99.659	293	1	0	1	293	1	293	0.0	605
I5593_04755	ACX60_05210	99.784	464	1	0	1	464	1	464	0.0	911
I5593_04760	ACX60_05215	99.262	271	2	0	1	271	1	271	0.0	559
I5593_04765	ACX60_05220	100.000	920	0	0	1	920	1	920	0.0	1892
I5593_04770	ACX60_05225	100.000	127	0	0	1	127	1	127	3.38e-95	266
I5593_04775	ACX60_05230	99.524	210	1	0	1	210	1	210	1.56e-159	436
I5593_04780	ACX60_05235	98.152	487	9	0	1	487	1	487	0.0	984
I5593_04785	ACX60_05240	97.600	125	3	0	3	127	1	125	8.46e-92	258
I5593_04790	ACX60_05245	100.000	203	0	0	1	203	1	203	1.06e-148	408
I5593_04795	ACX60_05250	99.537	432	2	0	1	432	1	432	0.0	885
I5593_04800	ACX60_05255	97.436	234	6	0	1	234	1	234	3.17e-167	457
I5593_04805	ACX60_05260	100.000	212	0	0	1	212	1	212	2.06e-158	433
I5593_04810	ACX60_05265	99.894	945	1	0	1	945	1	945	0.0	1932
I5593_04815	ACX60_05270	99.704	338	1	0	1	338	1	338	0.0	657
I5593_04820	ACX60_05275	99.567	231	1	0	1	231	1	231	3.16e-169	462
I5593_04825	ACX60_05280	100.000	356	0	0	1	356	1	356	0.0	741
I5593_04830	ACX60_05285	99.725	364	1	0	1	364	1	364	0.0	759
I5593_04835	ACX60_05290	99.476	191	1	0	1	191	1	191	1.78e-143	394
I5593_04840	ACX60_05295	98.993	298	3	0	1	298	1	298	0.0	611
I5593_04845	ACX60_05300	99.571	233	1	0	1	233	1	233	1.95e-174	475
I5593_04850	ACX60_05305	100.000	457	0	0	1	457	1	457	0.0	939
I5593_04855	ACX60_05310	99.608	510	2	0	1	510	1	510	0.0	1059
I5593_04860	ACX60_05315	98.739	476	6	0	1	476	1	476	0.0	963
I5593_04865	ACX60_05320	100.000	161	0	0	1	161	1	161	1.76e-118	328
I5593_04870	ACX60_05325	99.825	573	1	0	1	573	1	573	0.0	1175
I5593_04875	ACX60_05330	100.000	459	0	0	1	459	1	459	0.0	920
I5593_04880	ACX60_05335	100.000	343	0	0	1	343	1	343	0.0	704
I5593_04885	ACX60_05340	100.000	459	0	0	1	459	1	459	0.0	917
I5593_04890	ACX60_05345	100.000	465	0	0	1	465	1	465	0.0	939
I5593_04895	ACX60_05350	100.000	300	0	0	1	300	1	300	0.0	626
I5593_04900	ACX60_05355	100.000	320	0	0	1	320	1	320	0.0	659
I5593_04905	ACX60_05360	70.941	733	204	6	1	728	1	729	0.0	984
I5593_04910	ACX60_05365	97.596	208	5	0	1	208	1	208	5.19e-150	412
I5593_04915	ACX60_05370	100.000	462	0	0	1	462	1	462	0.0	958
I5593_04920	ACX60_05375	99.180	244	2	0	1	244	1	244	0.0	499
I5593_04925	ACX60_05380	100.000	377	0	0	1	377	1	377	0.0	790
I5593_04930	ACX60_05385	99.383	162	1	0	1	162	1	162	3.49e-120	332
I5593_04935	ACX60_05390	100.000	181	0	0	1	181	1	181	9.72e-134	368
I5593_04940	ACX60_05395	100.000	382	0	0	1	382	1	382	0.0	794
I5593_04945	ACX60_05400	100.000	138	0	0	3	140	1	138	2.89e-99	278
I5593_04950	ACX60_05405	97.561	123	3	0	1	123	1	123	1.16e-89	252
I5593_04955	ACX60_05410	99.608	255	1	0	1	255	1	255	0.0	516
I5593_04960	ACX60_05415	100.000	276	0	0	1	276	1	276	0.0	564
I5593_04965	ACX60_05420	99.353	309	2	0	1	309	1	309	0.0	635
I5593_04970	ACX60_05425	100.000	872	0	0	1	872	1	872	0.0	1794
I5593_04975	ACX60_05430	98.628	729	10	0	1	729	1	729	0.0	1455
I5593_04980	ACX60_05435	100.000	133	0	0	1	133	1	133	2.46e-98	275
I5593_04985	ACX60_05440	99.377	321	2	0	3	323	1	321	0.0	629
I5593_04990	ACX60_05445	100.000	74	0	0	1	74	1	74	2.33e-53	157
I5593_04995	ACX60_05450	99.003	702	7	0	1	702	6	707	0.0	1398
I5593_05005	ACX60_05460	99.704	338	1	0	1	338	1	338	0.0	686
I5593_05010	ACX60_05465	100.000	189	0	0	1	189	1	189	1.84e-142	391
I5593_05015	ACX60_05470	99.570	698	3	0	1	698	1	698	0.0	1388
I5593_05020	ACX60_05475	100.000	100	0	0	1	100	1	100	2.62e-75	214
I5593_05030	ACX60_05555	98.715	467	6	0	1	467	1	467	0.0	945
I5593_05035	ACX60_05560	97.661	171	4	0	1	171	1	171	1.83e-122	339
I5593_05040	ACX60_05565	99.708	342	1	0	1	342	1	342	0.0	701
I5593_05045	ACX60_05570	93.048	187	13	0	1	187	1	187	4.58e-130	359
I5593_05050	ACX60_05575	99.123	228	2	0	1	228	1	228	4.13e-172	469
I5593_05055	ACX60_05580	98.137	322	6	0	1	322	1	322	0.0	647
I5593_05060	ACX60_05585	99.517	207	1	0	1	207	1	207	3.46e-156	427
I5593_05065	ACX60_05590	96.853	286	9	0	1	286	1	286	0.0	579
I5593_05070	ACX60_05595	96.423	615	22	0	1	615	1	615	0.0	1233
I5593_05075	ACX60_05600	96.444	675	24	0	1	675	23	697	0.0	1347
I5593_05080	ACX60_05605	99.681	313	1	0	15	327	1	313	0.0	607
I5593_05085	ACX60_05610	98.095	315	6	0	1	315	1	315	0.0	619
I5593_05090	ACX60_05615	99.219	256	2	0	1	256	1	256	0.0	528
I5593_05095	ACX60_05620	99.379	322	2	0	1	322	1	322	0.0	665
I5593_05100	ACX60_05625	58.718	780	303	9	1	766	1	775	0.0	909
I5593_05105	ACX60_05630	99.541	436	2	0	1	436	1	436	0.0	908
I5593_05110	ACX60_05635	98.639	955	13	0	1	955	26	980	0.0	1944
I5593_05115	ACX60_05640	97.601	542	13	0	1	542	1	542	0.0	1101
I5593_05120	ACX60_05645	98.962	289	3	0	1	289	1	289	0.0	593
I5593_05125	ACX60_05650	98.433	383	6	0	1	383	1	383	0.0	792
I5593_05130	ACX60_05660	97.154	527	15	0	1	527	10	536	0.0	1029
I5593_05135	ACX60_05665	98.305	531	9	0	1	531	1	531	0.0	1042
I5593_05140	ACX60_05670	97.541	244	6	0	1	244	1	244	1.03e-179	489
I5593_05145	ACX60_05675	95.618	251	11	0	1	251	1	251	4.71e-179	489
I5593_05150	ACX60_05680	99.229	389	3	0	1	389	1	389	0.0	800
I5593_05155	ACX60_05685	99.759	415	1	0	1	415	1	415	0.0	850
I5593_05160	ACX60_05690	99.160	357	3	0	1	357	1	357	0.0	734
I5593_05165	ACX60_05695	99.242	264	2	0	1	264	1	264	0.0	523
I5593_05175	ACX60_05705	99.524	630	3	0	1	630	1	630	0.0	1307
I5593_05180	ACX60_05710	99.217	383	3	0	1	383	1	383	0.0	778
I5593_05185	ACX60_05715	98.901	182	2	0	1	182	3	184	4.36e-137	377
I5593_05190	ACX60_05720	96.393	499	18	0	1	499	1	499	0.0	998
I5593_05195	ACX60_05725	98.483	791	12	0	1	791	1	791	0.0	1628
I5593_05200	ACX60_05730	98.165	327	6	0	1	327	1	327	0.0	665
I5593_05205	ACX60_05735	99.134	231	2	0	1	231	1	231	8.07e-172	469
I5593_05210	ACX60_05740	99.254	268	2	0	1	268	1	268	0.0	545
I5593_05215	ACX60_05745	99.713	349	1	0	1	349	3	351	0.0	711
I5593_05220	ACX60_05750	97.802	910	20	0	1	910	1	910	0.0	1826
I5593_05225	ACX60_05755	98.888	899	10	0	23	921	1	899	0.0	1832
I5593_05230	ACX60_05760	100.000	194	0	0	1	194	1	194	1.90e-148	406
I5593_05235	ACX60_05765	98.833	600	7	0	1	600	1	600	0.0	1231
I5593_05240	ACX60_05770	99.415	513	3	0	1	513	1	513	0.0	1025
I5593_05245	ACX60_05775	100.000	469	0	0	3	471	1	469	0.0	978
I5593_05250	ACX60_05780	99.408	169	1	0	1	169	1	169	1.75e-127	352
I5593_05255	ACX60_05785	99.658	292	1	0	1	292	1	292	0.0	590
I5593_05260	ACX60_05790	56.790	486	153	11	1	432	1	483	1.44e-169	481
I5593_05265	ACX60_05795	100.000	66	0	0	1	66	1	66	1.22e-43	131
I5593_05270	ACX60_05800	98.639	147	2	0	1	147	1	147	1.94e-107	299
I5593_05290	ACX60_05820	100.000	208	0	0	1	208	1	208	1.08e-155	426
I5593_05295	ACX60_05825	98.810	252	3	0	1	252	1	252	0.0	517
I5593_05300	ACX60_05830	99.744	391	1	0	1	391	1	391	0.0	781
I5593_05305	ACX60_05835	99.757	412	1	0	1	412	1	412	0.0	854
I5593_05310	ACX60_05840	100.000	756	0	0	1	756	1	756	0.0	1554
I5593_05315	ACX60_05845	99.684	949	3	0	1	949	1	949	0.0	1952
I5593_05320	ACX60_05850	99.167	240	2	0	1	240	1	240	0.0	495
I5593_05325	ACX60_05855	99.281	278	2	0	1	278	1	278	0.0	570
I5593_05330	ACX60_05860	100.000	460	0	0	1	460	1	460	0.0	954
I5593_05335	ACX60_05865	97.753	178	4	0	1	178	1	178	9.52e-134	368
I5593_05340	ACX60_05870	99.213	127	1	0	1	127	1	127	1.16e-94	265
I5593_05345	ACX60_05875	99.269	821	6	0	1	821	1	821	0.0	1684
I5593_05350	ACX60_05880	99.703	337	1	0	1	337	1	337	0.0	696
I5593_05355	ACX60_05885	100.000	470	0	0	1	470	1	470	0.0	977
I5593_05360	ACX60_05895	99.752	404	1	0	1	404	1	404	0.0	790
I5593_05365	ACX60_05900	99.554	448	2	0	1	448	1	448	0.0	894
I5593_05370	ACX60_05905	57.784	379	138	6	1	364	1	372	1.22e-143	409
I5593_05375	ACX60_05910	100.000	275	0	0	1	275	1	275	0.0	574
I5593_05380	ACX60_05915	100.000	250	0	0	1	250	1	250	0.0	515
I5593_05385	ACX60_05920	100.000	291	0	0	1	291	1	291	0.0	571
I5593_05390	ACX60_05925	96.894	161	4	1	1	160	1	161	2.88e-114	317
I5593_05395	ACX60_05930	100.000	274	0	0	1	274	1	274	0.0	570
I5593_05400	ACX60_05935	98.462	195	3	0	44	238	1	195	3.45e-139	385
I5593_05405	ACX60_05940	100.000	105	0	0	1	105	1	105	2.72e-72	207
I5593_05410	ACX60_05945	99.333	150	1	0	1	150	1	150	2.89e-107	299
I5593_05415	ACX60_05950	100.000	205	0	0	1	205	1	205	4.93e-155	424
I5593_05420	ACX60_05955	99.700	333	1	0	1	333	1	333	0.0	687
I5593_05425	ACX60_05960	100.000	380	0	0	1	380	1	380	0.0	755
I5593_05430	ACX60_05965	100.000	216	0	0	1	216	1	216	9.86e-161	439
I5593_05435	ACX60_05970	99.630	270	1	0	1	270	1	270	0.0	563
I5593_05440	ACX60_05975	100.000	257	0	0	1	257	1	257	0.0	514
I5593_05445	ACX60_05980	100.000	311	0	0	1	311	1	311	0.0	639
I5593_05450	ACX60_10200	35.061	328	200	4	1	327	1	316	3.64e-60	192
I5593_05455	ACX60_07500	74.905	263	61	3	1	259	1	262	2.22e-147	410
I5593_05520	ACX60_12600	24.645	211	120	6	3	206	43	221	6.45e-06	43.1
I5593_05535	ACX60_12585	89.130	92	10	0	5	96	4	95	1.05e-60	177
I5593_05540	ACX60_12580	98.344	302	5	0	1	302	1	302	0.0	609
I5593_05550	ACX60_12575	67.405	316	96	3	1	309	1	316	2.80e-139	393
I5593_05555	ACX60_07465	98.394	249	4	0	1	249	1	249	0.0	514
I5593_05560	ACX60_07470	74.545	110	25	2	1	109	1	108	3.15e-49	149
I5593_05575	ACX60_10120	48.864	88	29	3	65	147	121	197	1.55e-14	65.5
I5593_05595	ACX60_10115	26.923	156	82	6	7	160	6	131	1.18e-13	62.4
I5593_05610	ACX60_10100	47.619	84	43	1	1	83	1	84	4.66e-21	76.6
I5593_05620	ACX60_10085	39.759	166	82	5	7	157	8	170	2.22e-31	108
I5593_05635	ACX60_07540	37.580	471	280	7	3	460	4	473	9.11e-88	273
I5593_05640	ACX60_07545	51.381	362	164	4	10	361	8	367	4.04e-128	369
I5593_05665	ACX60_07580	30.328	122	69	4	1	113	1	115	5.21e-06	40.0
I5593_05670	ACX60_07585	48.485	132	56	4	1	130	1	122	1.02e-36	119
I5593_05675	ACX60_07595	39.716	141	65	3	1	140	1	122	1.09e-25	91.3
I5593_05680	ACX60_07600	59.091	132	54	0	1	132	1	132	2.04e-55	166
I5593_05700	ACX60_07615	93.162	117	8	0	1	117	1	117	4.11e-80	228
I5593_05705	ACX60_07620	98.724	392	5	0	1	392	1	392	0.0	795
I5593_05710	ACX60_07625	97.049	305	9	0	1	305	1	305	0.0	613
I5593_05715	ACX60_07630	87.135	171	20	1	1	169	1	171	6.81e-100	282
I5593_05725	ACX60_09525	32.000	75	49	1	1	75	1	73	1.47e-08	47.4
I5593_05750	ACX60_07655	45.956	1051	412	35	490	1450	647	1631	0.0	709
I5593_05750	ACX60_07655	64.083	529	148	10	1	496	1	520	3.94e-177	569
I5593_05760	ACX60_07660	96.970	132	4	0	1	132	1	132	5.08e-95	266
I5593_05765	ACX60_07665	93.452	168	11	0	1	168	1	168	1.71e-119	331
I5593_05770	ACX60_07670	83.333	120	20	0	1	120	1	120	1.95e-75	216
I5593_05775	ACX60_07675	94.425	1148	64	0	1	1148	1	1148	0.0	2209
I5593_05790	ACX60_09955	36.559	93	57	2	67	157	54	146	5.85e-13	60.8
I5593_05795	ACX60_09945	55.738	61	27	0	1	61	1	61	1.92e-23	80.9
I5593_05805	ACX60_05990	93.810	210	13	0	2	211	1	210	2.12e-144	397
I5593_05810	ACX60_05995	99.561	228	1	0	1	228	1	228	2.70e-170	464
I5593_05815	ACX60_06000	90.465	409	39	0	1	409	1	409	0.0	748
I5593_05825	ACX60_06005	100.000	417	0	0	1	417	1	417	0.0	861
I5593_05830	ACX60_06010	99.378	482	3	0	1	482	1	482	0.0	958
I5593_05835	ACX60_06015	99.906	1059	1	0	1	1059	1	1059	0.0	2138
I5593_05840	ACX60_06020	99.261	406	2	1	1	406	1	405	0.0	807
I5593_05845	ACX60_06025	100.000	343	0	0	1	343	1	343	0.0	707
I5593_05850	ACX60_06030	99.617	261	1	0	1	261	1	261	0.0	528
I5593_05855	ACX60_06035	99.563	229	1	0	1	229	1	229	9.48e-167	456
I5593_05860	ACX60_06040	98.734	237	3	0	1	237	1	237	2.81e-175	478
I5593_05865	ACX60_06045	98.837	258	3	0	1	258	1	258	0.0	522
I5593_05870	ACX60_06050	95.413	109	5	0	1	109	1	109	2.78e-71	204
I5593_05875	ACX60_06055	92.683	82	6	0	1	82	1	82	3.92e-53	157
I5593_05880	ACX60_06060	98.465	456	7	0	1	456	1	456	0.0	946
I5593_05885	ACX60_06065	98.765	486	6	0	3	488	1	486	0.0	996
I5593_05890	ACX60_06070	97.578	289	7	0	1	289	1	289	0.0	581
I5593_05895	ACX60_06075	100.000	259	0	0	1	259	1	259	0.0	534
I5593_05900	ACX60_06080	99.567	231	1	0	12	242	1	231	5.23e-175	477
I5593_05905	ACX60_06085	98.341	422	7	0	1	422	1	422	0.0	813
I5593_05910	ACX60_06090	98.803	585	7	0	1	585	1	585	0.0	1197
I5593_05915	ACX60_06095	97.479	119	3	0	1	119	1	119	3.55e-83	235
I5593_05920	ACX60_06100	99.091	220	2	0	1	220	1	220	1.58e-161	442
I5593_05925	ACX60_06105	99.558	452	2	0	1	452	1	452	0.0	913
I5593_05930	ACX60_06110	100.000	56	0	0	1	56	1	56	6.56e-37	114
I5593_05935	ACX60_06115	100.000	299	0	0	1	299	1	299	0.0	617
I5593_05940	ACX60_06120	99.454	183	1	0	1	183	1	183	1.07e-135	373
I5593_05945	ACX60_06125	99.749	798	2	0	1	798	1	798	0.0	1638
I5593_05950	ACX60_06130	100.000	302	0	0	1	302	1	302	0.0	614
I5593_05955	ACX60_06135	100.000	90	0	0	1	90	1	90	7.58e-65	187
I5593_05960	ACX60_06140	97.305	334	9	0	1	334	1	334	0.0	679
I5593_05965	ACX60_06145	99.779	452	1	0	1	452	1	452	0.0	896
I5593_05970	ACX60_06150	99.475	381	2	0	1	381	1	381	0.0	788
I5593_05975	ACX60_06155	98.630	292	4	0	23	314	1	292	0.0	602
I5593_05980	ACX60_06160	100.000	369	0	0	1	369	1	369	0.0	761
I5593_05985	ACX60_06165	100.000	748	0	0	1	748	1	748	0.0	1521
I5593_05990	ACX60_06170	99.213	127	1	0	1	127	1	127	1.12e-93	263
I5593_05995	ACX60_06175	96.708	486	16	0	1	486	1	486	0.0	964
I5593_06000	ACX60_06200	89.937	318	32	0	1	318	1	318	0.0	610
I5593_06005	ACX60_06210	100.000	210	0	0	1	210	1	210	3.07e-155	425
I5593_06010	ACX60_06215	98.833	257	3	0	1	257	1	257	0.0	520
I5593_06015	ACX60_06220	96.135	207	8	0	1	207	1	207	5.17e-146	401
I5593_06020	ACX60_06225	100.000	261	0	0	1	261	1	261	0.0	531
I5593_06025	ACX60_06230	100.000	65	0	0	1	65	1	65	1.61e-43	131
I5593_06030	ACX60_06235	100.000	121	0	0	1	121	1	121	1.08e-82	234
I5593_06035	ACX60_06240	100.000	288	0	0	1	288	1	288	0.0	594
I5593_06040	ACX60_06245	100.000	81	0	0	1	81	1	81	1.87e-57	167
I5593_06045	ACX60_06250	100.000	70	0	0	1	70	1	70	2.50e-47	141
I5593_06050	ACX60_06255	100.000	383	0	0	1	383	1	383	0.0	786
I5593_06055	ACX60_06260	99.206	126	1	0	1	126	1	126	2.98e-89	251
I5593_06060	ACX60_06265	99.476	191	1	0	1	191	1	191	2.16e-139	383
I5593_06065	ACX60_06270	100.000	357	0	0	1	357	1	357	0.0	735
I5593_06070	ACX60_06275	100.000	151	0	0	1	151	1	151	1.16e-112	312
I5593_06075	ACX60_06280	99.472	379	2	0	1	379	1	379	0.0	775
I5593_06080	ACX60_06285	99.371	159	1	0	1	159	1	159	1.51e-114	318
I5593_06085	ACX60_06290	100.000	334	0	0	1	334	1	334	0.0	682
I5593_06090	ACX60_06295	100.000	195	0	0	1	195	1	195	1.45e-141	389
I5593_06095	ACX60_06300	99.805	513	1	0	1	513	1	513	0.0	1063
I5593_06100	ACX60_06305	100.000	610	0	0	20	629	1	610	0.0	1244
I5593_06105	ACX60_06310	99.537	216	1	0	1	216	1	216	1.01e-160	439
I5593_06110	ACX60_06315	99.377	321	2	0	1	321	1	321	0.0	652
I5593_06115	ACX60_06320	99.789	475	1	0	1	475	4	478	0.0	973
I5593_06120	ACX60_06325	100.000	148	0	0	1	148	1	148	4.16e-103	288
I5593_06125	ACX60_06330	100.000	71	0	0	1	71	1	71	1.96e-46	139
I5593_06130	ACX60_06335	99.702	336	1	0	1	336	1	336	0.0	684
I5593_06135	ACX60_02425	29.375	320	194	13	51	359	30	328	1.27e-28	111
I5593_06140	ACX60_06345	100.000	293	0	0	1	293	1	293	0.0	607
I5593_06145	ACX60_06350	100.000	502	0	0	1	502	1	502	0.0	1052
I5593_06150	ACX60_06355	94.382	267	15	0	1	267	1	267	0.0	520
I5593_06175	ACX60_06380	97.377	305	8	0	1	305	1	305	0.0	619
I5593_06180	ACX60_06385	99.127	458	4	0	3	460	1	458	0.0	945
I5593_06185	ACX60_06390	99.617	522	2	0	1	522	1	522	0.0	1085
I5593_06190	ACX60_06395	99.355	465	3	0	1	465	1	465	0.0	921
I5593_06195	ACX60_06400	100.000	77	0	0	1	77	1	77	1.90e-52	154
I5593_06200	ACX60_06405	98.457	324	5	0	1	324	14	337	0.0	667
I5593_06205	ACX60_06410	99.621	264	1	0	1	264	1	264	0.0	548
